,Price,Address,BedSize,Area,FullBath,HalfBath,LotSize
0,"$725,000",0 Gateway,No Bed,None,None,None,
1,"$452,900",1003 Winchester Blvd.,4,None,4,None,0.21 Acres
2,"$396,900",600 Talladega,5,"3,154",3,None,
3,"$389,900",3239 Spearhead Way,4,"3,076",3,1,"Under 1/2 Acre, "
4,"$254,000",522 Emerald Street,3,"1,172",3,None,"Under 1/2 Acre, "
5,"$252,900",1302 Veteran's Drive,4,"1,932",2,None,0.27 Acres
6,"$210,000",1021 Cypress Cir,4,"1,676",3,None,"Under 1/2 Acre, "
7,"$209,000",913 Madison Dr,3,"1,344",2,None,"Under 1/2 Acre, "
8,"$199,900",1344 Teton Street,3,"1,920",2,None,"Under 1/2 Acre, "
9,"$196,900",4 Minnies Lane,3,"1,664",2,None,2.02 Acres
